level,alias,canonical,note
block,Thirumangalam,TIRUMANGALAM,common Th- spelling variant
block,Thiruparankundram,TIRUPPARANGUNRAM,common spelling variant of the LGD name
block,Thirupparankundram,TIRUPPARANGUNRAM,common spelling variant of the LGD name
block,Tiruparankundram,TIRUPPARANGUNRAM,common spelling variant of the LGD name
block,Chellampatty,CHELLAMPATTI,spelling variant
block,Sedapatty,SEDAPATTI,spelling variant
block,Usilampatty,USILAMPATTI,spelling variant
block,Vadipatty,VADIPATTI,spelling variant
district,Kanyakumari,Kanniyakumari,LGD uses Kanniyakumari
district,Nilgiris,The Nilgiris,LGD uses The Nilgiris
district,The Nilgiris District,The Nilgiris,LGD uses The Nilgiris
district,Teni,Theni,LGD uses Theni
district,Ranipettai,Ranipet,LGD uses Ranipet
district,Tiruppattur,Tirupathur,LGD uses Tirupathur
district,Tiruchirapalli,Tiruchirappalli,LGD spelling has double p
district,Trichy,Tiruchirappalli,common short form
district,Kallakkurichi,Kallakurichi,LGD uses single k
district,Thoothukudi,Tuticorin,LGD uses Tuticorin
district,Thootukudi,Tuticorin,LGD uses Tuticorin
district,Tiruvallur,Thiruvallur,LGD uses Thiruvallur
district,Tiruvarur,Thiruvarur,LGD uses Thiruvarur
district,Villuppuram,Villupuram,LGD uses single p
district,Bhagalpore,Bhagalpur,spelling variant
state,Pondicherry,Puducherry,renamed 2006
state,Orissa,Odisha,renamed 2011
state,Uttaranchal,Uttarakhand,renamed 2007
state,NCT of Delhi,Delhi,LGD uses Delhi
state,Tamilnadu,Tamil Nadu,missing space
